hexID,LAT,LON,N,K,R
101075,72.268842597432,-24.4999885408441,28,2,6
101076,73.134823515472,-24.4999885408437,34,3,24
101079,75.7327366223963,-24.4999885408438,2,1,2
101087,82.6599836732844,-24.4999885408439,1,1,1
101170,14.6788370209775,-24.249988540844,121,3,66
101172,16.4108862071322,-24.2499885408439,2759,5,559
101228,64.9078899347229,-24.2499885408446,4439,2,106
101229,65.7738918947126,-24.2499885408444,3517,5,439
101233,69.2378824525934,-24.2499885408442,33,2,4
101235,70.969864238526,-24.2499885408441,13,2,11
101236,71.8358506769037,-24.2499885408437,74,2,23
101237,72.7018335675199,-24.2499885408444,18,2,10
101238,73.5678123620103,-24.2499885408443,8,2,8
101239,74.4337863894545,-24.249988540844,1,1,1
101240,75.2997548202443,-24.249988540844,9,1,9
101243,77.8976146635147,-24.2499885408443,63,1,1
101248,82.2270788141537,-24.2499885408444,17,1,16
101333,15.1118493510949,-23.999988540844,339,3,148
101335,16.8438984455832,-23.9999885408443,9,2,8
101391,65.3408910985325,-23.9999885408444,2785,5,471
101396,69.6708788975454,-23.9999885408445,48,1,7
101397,70.5368698334902,-23.9999885408446,4,1,3
101398,71.4028578709177,-23.9999885408437,61,3,31
101399,72.268842597432,-23.9999885408442,872,3,281
101400,73.134823515472,-23.9999885408444,95,2,7
101401,74.0008000192416,-23.9999885408439,7,1,6
101408,80.0624165258265,-23.9999885408438,10,2,7
101410,81.7941628154701,-23.9999885408439,1,1,1
101411,82.6599836732844,-23.9999885408443,243,1,150
101495,15.5448616592504,-23.7499885408445,6,2,5
101552,64.9078899347229,-23.749988540844,16908,6,1241
101553,65.7738918947126,-23.7499885408438,4536,5,657
101559,70.969864238526,-23.7499885408445,35,3,20
101560,71.8358506769037,-23.749988540844,79,2,46
101561,72.7018335675199,-23.7499885408442,97,2,18
101562,73.5678123620103,-23.7499885408448,14,2,6
101563,74.4337863894545,-23.7499885408444,1,1,1
101570,80.4953631955597,-23.7499885408442,10,1,3
101571,81.3612373511544,-23.7499885408449,8,1,8
101572,82.2270788141537,-23.749988540844,70,1,47
101657,15.1118493510948,-23.4999885408442,17900,5,1088
101715,65.3408910985325,-23.4999885408441,1863,4,870
101716,66.2068923045519,-23.4999885408448,3625,5,977
101720,69.6708788975454,-23.4999885408443,3,1,2
101721,70.5368698334902,-23.4999885408441,15,2,13
101722,71.4028578709178,-23.4999885408445,33,2,25
101723,72.268842597432,-23.4999885408439,43,2,32
101724,73.1348235154719,-23.4999885408439,354,3,20
101725,74.0008000192416,-23.4999885408443,3,2,3
101735,82.6599836732844,-23.4999885408438,254,1,214
101819,15.5448616592501,-23.2499885408439,33,2,10
101876,64.907889934723,-23.249988540844,18900,5,930
101877,65.7738918947126,-23.2499885408436,9352,5,830
101882,70.1038747048781,-23.2499885408434,1,1,1
101883,70.9698642385259,-23.2499885408436,134,3,53
101884,71.8358506769037,-23.249988540844,80,3,43
101885,72.7018335675199,-23.2499885408435,19,2,17
101886,73.5678123620103,-23.2499885408439,1027,3,25
101892,78.7635470046658,-23.2499885408438,5,1,1
101896,82.2270788141537,-23.2499885408439,83,4,23
101981,15.1118493510948,-22.9999885408441,983,4,228
101982,15.9778739448077,-22.9999885408441,3224,3,359
101983,16.8438984455832,-22.9999885408442,3796,5,515
102039,65.3408910985325,-22.9999885408443,413,3,218
102040,66.2068923045519,-22.9999885408442,20848,6,928
102044,69.6708788975454,-22.9999885408439,4,2,4
102045,70.5368698334902,-22.9999885408445,134,2,73
102046,71.4028578709178,-22.9999885408439,112,2,47
102047,72.268842597432,-22.9999885408443,28,4,23
102048,73.1348235154719,-22.9999885408443,289,5,63
102049,74.0008000192416,-22.9999885408442,299,3,84
102052,76.5986946285704,-22.999988540844,4,1,4
102053,77.4646438923926,-22.9999885408438,1,1,1
102056,80.0624165258265,-22.9999885408446,243,3,80
102059,82.6599836732844,-22.9999885408445,15,1,10
102144,16.410886207132,-22.7499885408445,2796,4,357
102199,64.0418865727611,-22.7499885408446,54843,6,793
102200,64.9078899347229,-22.7499885408441,3530,6,655
102201,65.7738918947126,-22.7499885408446,6551,5,1240
102202,66.6398923079335,-22.7499885408444,295,3,192
102206,70.1038747048781,-22.7499885408449,4,2,2
102207,70.969864238526,-22.7499885408444,1021,4,186
102208,71.8358506769036,-22.7499885408443,134,2,57
102209,72.7018335675199,-22.749988540844,118,3,92
102210,73.5678123620103,-22.7499885408439,41,2,27
102211,74.4337863894545,-22.7499885408451,112,3,48
102306,15.9778739448075,-22.4999885408441,226,2,53
102361,63.6088844060429,-22.4999885408441,970,3,174
102362,64.4748884207134,-22.4999885408442,2166,5,293
102363,65.3408910985324,-22.4999885408438,2169,4,559
102364,66.2068923045519,-22.4999885408436,6385,5,726
102369,70.5368698334902,-22.4999885408437,1984,5,225
102370,71.4028578709177,-22.4999885408444,634,2,60
102371,72.2688425974321,-22.4999885408444,59,1,58
102372,73.1348235154719,-22.4999885408439,214,2,19
102373,74.0008000192416,-22.4999885408445,14,2,13
102374,74.8667713637235,-22.4999885408442,41,1,2
102376,76.5986946285704,-22.4999885408441,1,1,1
102377,77.4646438923926,-22.4999885408442,1,1,1
102380,80.0624165258265,-22.499988540844,80,3,9
